DIA;VDA_CMV
22/08/2016;1989,07
23/08/2016;1801,15
24/08/2016;1935,16
25/08/2016;3795,43
26/08/2016;10847,18
27/08/2016;17991,44
28/08/2016;3609,92
29/08/2016;1955,75
30/08/2016;2575,7
31/08/2016;2796,26
01/09/2016;3210,12
02/09/2016;6002,09
03/09/2016;11011,92
04/09/2016;5634,24
05/09/2016;3953,44
06/09/2016;8053,85
07/09/2016;7970,65
08/09/2016;6319,4
09/09/2016;12898,94
10/09/2016;16530,69
11/09/2016;4765,33
12/09/2016;3065,7
13/09/2016;2742,09
14/09/2016;8982,86
15/09/2016;4496,69
16/09/2016;15233,31
17/09/2016;16309,52
18/09/2016;4641,21
19/09/2016;2363,9
20/09/2016;5296,36
21/09/2016;4355,55
22/09/2016;7135,94
23/09/2016;8081,41
24/09/2016;12203,2
25/09/2016;5408,75
26/09/2016;3683,19
27/09/2016;1923,74
28/09/2016;7159,69
29/09/2016;8247,72
30/09/2016;13315,21
01/10/2016;17921,34
02/10/2016;5640,75
03/10/2016;3770,3
04/10/2016;4104,32
05/10/2016;4834,69
06/10/2016;4880,27
07/10/2016;8978,06
08/10/2016;15060,73
09/10/2016;8215,7
10/10/2016;3775,13
11/10/2016;8787,66
12/10/2016;7466,86
13/10/2016;9824,33
14/10/2016;7592,61
15/10/2016;14010,2
16/10/2016;6646,48
17/10/2016;3162,9
18/10/2016;4854,5
19/10/2016;3638,56
20/10/2016;6079,08
21/10/2016;8311,15
22/10/2016;12525,41
23/10/2016;5321,88
24/10/2016;3219,86
25/10/2016;2510,87
26/10/2016;3283,15
27/10/2016;3277,34
28/10/2016;11338,56
29/10/2016;11753,91
30/10/2016;4327,72
31/10/2016;3243,36
01/11/2016;6700,44
02/11/2016;4606,59
03/11/2016;3230,76
04/11/2016;7882,57
05/11/2016;12185,66
06/11/2016;5561,93
07/11/2016;2768,53
08/11/2016;3290,24
09/11/2016;3893,59
10/11/2016;6031,48
11/11/2016;11764,51
12/11/2016;12811,35
13/11/2016;8839,25
14/11/2016;6225,43
15/11/2016;4015,06
16/11/2016;2890,26
17/11/2016;3692,05
18/11/2016;6967,96
19/11/2016;10634,2
20/11/2016;5078,52
21/11/2016;2394,85
22/11/2016;2468,27
23/11/2016;6543,42
24/11/2016;5889,11
25/11/2016;9626,41
26/11/2016;21848,76
27/11/2016;6743,33
